`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 38, 'id': '56e1c2eee3433e1400423136', 'loss': 0.18151907622814178, 'grad_norm': 21.835378646850586, 'input_tokens': 247, 'supervised_tokens': 7}
{'step': 39, 'id': '5ad546c75b96ef001a10ac12', 'loss': 0.0014795024180784822, 'grad_norm': 0.050964269787073135, 'input_tokens': 279, 'supervised_tokens': 5}
{'step': 40, 'id': '56e1c4fce3433e1400423151', 'loss': 0.9505680203437805, 'grad_norm': 25.630760192871094, 'input_tokens': 171, 'supervised_tokens': 4}
{'step': 41, 'id': '56e1ce08e3433e14004231a5', 'loss': 1.180094599723816, 'grad_norm': 14.392951965332031, 'input_tokens': 212, 'supervised_tokens': 12}
{'step': 42, 'id': '5ad537a15b96ef001a10ab9c', 'loss': 0.14515738189220428, 'grad_norm': 38.94622039794922, 'input_tokens': 202, 'supervised_tokens': 5}
{'step': 43, 'id': '5ad542db5b96ef001a10abf5', 'loss': 0.0024857097305357456, 'grad_norm': 0.09100136905908585, 'input_tokens': 204, 'supervised_tokens': 5}
{'step': 44, 'id': '56e19557e3433e1400422ff1', 'loss': 0.8621542453765869, 'grad_norm': 8.508587837219238, 'input_tokens': 170, 'supervised_tokens': 9}
{'step': 45, 'id': '5ad572b15b96ef001a10af0a', 'loss': 0.0049813780933618546, 'grad_norm': 0.23084457218647003, 'input_tokens': 236, 'supervised_tokens': 5}
{'step': 46, 'id': '56e1c9bfe3433e1400423196', 'loss': 1.0103261470794678, 'grad_norm': 16.634000778198242, 'input_tokens': 207, 'supervised_tokens': 9}
{'step': 47, 'id': '5ad54a375b96ef001a10ac49', 'loss': 0.0017271287506446242, 'grad_norm': 0.06765453517436981, 'input_tokens': 272, 'supervised_tokens': 5}
{'step': 48, 'id': '5ad56fe65b96ef001a10aec3', 'loss': 0.004457288887351751, 'grad_norm': 0.22944170236587524, 'input_tokens': 155, 'supervised_tokens': 5}
