`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 38, 'id': '56e1febfe3433e1400423238', 'loss': 0.34962478280067444, 'grad_norm': 7.98990535736084, 'input_tokens': 221, 'supervised_tokens': 8}
{'step': 39, 'id': '5ad569c05b96ef001a10ae36', 'loss': 0.020992260426282883, 'grad_norm': 1.4407461881637573, 'input_tokens': 236, 'supervised_tokens': 5}
{'step': 40, 'id': '56e1c2eee3433e1400423136', 'loss': 0.11467979103326797, 'grad_norm': 4.048954486846924, 'input_tokens': 247, 'supervised_tokens': 7}
{'step': 41, 'id': '5ad546c75b96ef001a10ac0f', 'loss': 0.7076659202575684, 'grad_norm': 42.264854431152344, 'input_tokens': 280, 'supervised_tokens': 5}
{'step': 42, 'id': '5ad53b9d5b96ef001a10abc8', 'loss': 2.424119472503662, 'grad_norm': 27.835086822509766, 'input_tokens': 228, 'supervised_tokens': 5}
{'step': 43, 'id': '5ad561c85b96ef001a10ad3c', 'loss': 0.008113836869597435, 'grad_norm': 0.36813002824783325, 'input_tokens': 264, 'supervised_tokens': 5}
{'step': 44, 'id': '56e190bce3433e1400422fcb', 'loss': 0.12191721796989441, 'grad_norm': 4.712274074554443, 'input_tokens': 225, 'supervised_tokens': 3}
{'step': 45, 'id': '5ad572b15b96ef001a10af0a', 'loss': 0.008637419901788235, 'grad_norm': 0.4672168493270874, 'input_tokens': 236, 'supervised_tokens': 5}
{'step': 46, 'id': '5ad546c75b96ef001a10ac12', 'loss': 0.004130675457417965, 'grad_norm': 0.1865648627281189, 'input_tokens': 279, 'supervised_tokens': 5}
{'step': 47, 'id': '5ad546c75b96ef001a10ac11', 'loss': 0.7086018323898315, 'grad_norm': 43.94179153442383, 'input_tokens': 281, 'supervised_tokens': 5}
{'step': 48, 'id': '56e1a564cd28a01900c67a4b', 'loss': 0.6997495889663696, 'grad_norm': 27.401277542114258, 'input_tokens': 189, 'supervised_tokens': 5}
{'step': 49, 'id': '56e1febfe3433e1400423239', 'loss': 1.8880456686019897, 'grad_norm': 24.14624786376953, 'input_tokens': 205, 'supervised_tokens': 7}
