`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 38, 'id': '56e181d9e3433e1400422fa0', 'loss': 2.5018467903137207, 'grad_norm': 29.28279685974121, 'input_tokens': 184, 'supervised_tokens': 4}
{'step': 39, 'id': '56e19557e3433e1400422ff1', 'loss': 1.1399476528167725, 'grad_norm': 9.314239501953125, 'input_tokens': 170, 'supervised_tokens': 9}
{'step': 40, 'id': '5ad56fe65b96ef001a10aec3', 'loss': 0.610496461391449, 'grad_norm': 45.73499298095703, 'input_tokens': 155, 'supervised_tokens': 5}
{'step': 41, 'id': '56e1c9bfe3433e1400423192', 'loss': 0.14542710781097412, 'grad_norm': 7.226649761199951, 'input_tokens': 203, 'supervised_tokens': 4}
{'step': 42, 'id': '5ad54a375b96ef001a10ac4a', 'loss': 0.899182140827179, 'grad_norm': 22.597124099731445, 'input_tokens': 286, 'supervised_tokens': 5}
{'step': 43, 'id': '56e17644e3433e1400422f43', 'loss': 0.3094610273838043, 'grad_norm': 7.86426305770874, 'input_tokens': 229, 'supervised_tokens': 5}
{'step': 44, 'id': '56e1b355e3433e14004230b0', 'loss': 1.2606028318405151, 'grad_norm': 36.61712646484375, 'input_tokens': 189, 'supervised_tokens': 6}
{'step': 45, 'id': '5ad54a375b96ef001a10ac49', 'loss': 0.10135674476623535, 'grad_norm': 17.878358840942383, 'input_tokens': 272, 'supervised_tokens': 5}
{'step': 46, 'id': '56e1a564cd28a01900c67a4c', 'loss': 0.153413325548172, 'grad_norm': 7.115724563598633, 'input_tokens': 199, 'supervised_tokens': 6}
{'step': 47, 'id': '5ad569c05b96ef001a10ae3a', 'loss': 0.08521106839179993, 'grad_norm': 9.439288139343262, 'input_tokens': 244, 'supervised_tokens': 5}
{'step': 48, 'id': '5ad5391e5b96ef001a10aba2', 'loss': 0.2876301407814026, 'grad_norm': 48.93010711669922, 'input_tokens': 183, 'supervised_tokens': 5}
<PROJECT>/.venv/lib/python3.12/site-packages/peft/utils/save_and_load.py:286: UserWarning: Could not find a config file in Qwen/Qwen2.5-0.5B-Instruct - will assume that the vocabulary was not modified.
  warnings.warn(
