`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 38, 'id': '56e1c2eee3433e1400423136', 'loss': 0.15958352386951447, 'grad_norm': 6.721694469451904, 'input_tokens': 247, 'supervised_tokens': 7}
{'step': 39, 'id': '5ad546c75b96ef001a10ac12', 'loss': 0.5694839954376221, 'grad_norm': 8.308403968811035, 'input_tokens': 310, 'supervised_tokens': 36}
{'step': 40, 'id': '56e1c4fce3433e1400423151', 'loss': 0.2652345299720764, 'grad_norm': 17.241430282592773, 'input_tokens': 171, 'supervised_tokens': 4}
{'step': 41, 'id': '56e1ce08e3433e14004231a5', 'loss': 0.0270999725908041, 'grad_norm': 2.8723909854888916, 'input_tokens': 205, 'supervised_tokens': 5}
{'step': 42, 'id': '5ad537a15b96ef001a10ab9c', 'loss': 0.3509918451309204, 'grad_norm': 58.863670349121094, 'input_tokens': 202, 'supervised_tokens': 5}
{'step': 43, 'id': '5ad542db5b96ef001a10abf5', 'loss': 0.36597198247909546, 'grad_norm': 22.59083366394043, 'input_tokens': 206, 'supervised_tokens': 7}
{'step': 44, 'id': '56e19557e3433e1400422ff1', 'loss': 1.0761924982070923, 'grad_norm': 49.28521728515625, 'input_tokens': 166, 'supervised_tokens': 5}
{'step': 45, 'id': '5ad572b15b96ef001a10af0a', 'loss': 0.009705336764454842, 'grad_norm': 0.30035871267318726, 'input_tokens': 236, 'supervised_tokens': 5}
{'step': 46, 'id': '56e1c9bfe3433e1400423196', 'loss': 2.893554449081421, 'grad_norm': 29.11240005493164, 'input_tokens': 202, 'supervised_tokens': 4}
{'step': 47, 'id': '5ad54a375b96ef001a10ac49', 'loss': 0.006324395537376404, 'grad_norm': 0.3016606271266937, 'input_tokens': 272, 'supervised_tokens': 5}
{'step': 48, 'id': '5ad56fe65b96ef001a10aec3', 'loss': 0.011821298860013485, 'grad_norm': 0.5868008136749268, 'input_tokens': 155, 'supervised_tokens': 5}
<PROJECT>/.venv/lib/python3.12/site-packages/peft/utils/save_and_load.py:286: UserWarning: Could not find a config file in Qwen/Qwen2.5-0.5B-Instruct - will assume that the vocabulary was not modified.
  warnings.warn(
