`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 38, 'id': '56e1aff7cd28a01900c67a69', 'loss': 0.43261340260505676, 'grad_norm': 19.3525447845459, 'input_tokens': 279, 'supervised_tokens': 6}
{'step': 39, 'id': '56e1c2eee3433e1400423136', 'loss': 0.3312890827655792, 'grad_norm': 25.560272216796875, 'input_tokens': 247, 'supervised_tokens': 7}
{'step': 40, 'id': '5ad54f775b96ef001a10ac88', 'loss': 1.5407663583755493, 'grad_norm': 46.05122375488281, 'input_tokens': 160, 'supervised_tokens': 7}
{'step': 41, 'id': '56e19557e3433e1400422ff1', 'loss': 0.4154871106147766, 'grad_norm': 37.42348861694336, 'input_tokens': 166, 'supervised_tokens': 5}
{'step': 42, 'id': '56e1c9bfe3433e1400423196', 'loss': 3.2722392082214355, 'grad_norm': 38.309783935546875, 'input_tokens': 202, 'supervised_tokens': 4}
{'step': 43, 'id': '56e1c720e3433e140042316a', 'loss': 0.9727795720100403, 'grad_norm': 20.603506088256836, 'input_tokens': 265, 'supervised_tokens': 7}
{'step': 44, 'id': '5ad537a15b96ef001a10ab9d', 'loss': 1.4789865016937256, 'grad_norm': 45.283424377441406, 'input_tokens': 194, 'supervised_tokens': 5}
{'step': 45, 'id': '56e1c4fce3433e1400423151', 'loss': 0.2776429355144501, 'grad_norm': 19.379392623901367, 'input_tokens': 171, 'supervised_tokens': 4}
{'step': 46, 'id': '5ad5391e5b96ef001a10aba2', 'loss': 0.009986435063183308, 'grad_norm': 0.5105348825454712, 'input_tokens': 183, 'supervised_tokens': 5}
{'step': 47, 'id': '5ad572b15b96ef001a10af0a', 'loss': 0.007097946014255285, 'grad_norm': 0.231777161359787, 'input_tokens': 236, 'supervised_tokens': 5}
{'step': 48, 'id': '5ad569c05b96ef001a10ae3a', 'loss': 0.00862581841647625, 'grad_norm': 0.3167504370212555, 'input_tokens': 244, 'supervised_tokens': 5}
<PROJECT>/.venv/lib/python3.12/site-packages/peft/utils/save_and_load.py:286: UserWarning: Could not find a config file in Qwen/Qwen2.5-0.5B-Instruct - will assume that the vocabulary was not modified.
  warnings.warn(
